Age,Gender,Race,Education Level,Industry,Weekly Hours Worked,Salary (ZAR),Rent (ZAR),Transport (ZAR),Groceries (ZAR),Debt Repayment (ZAR),Savings (ZAR),Entertainment (ZAR),Total Expenses (ZAR),Debt-to-Income Ratio (%),Debt Risk Level
28,Male,Black African,Bachelor's,IT,40,33849,13486.41,3876.51,6558.71,10528.13,2984.29,5747.36,40197.12,31.1,High Risk
25,Male,Black African,High School,IT,45,14784,4848.72,1950.67,2421.23,5176.99,1704.95,2677.12,17074.73,35.02,High Risk
34,Female,Black African,Bachelor's,Education,45,22210,6777.67,2278.98,3785.34,7310.35,4045.64,3630.95,23783.3,32.91,High Risk
32,Male,Black African,Diploma,Education,40,12505,4847.14,1619.73,2006.83,3731.77,2178.79,2310.46,14515.92,29.84,Moderate Risk
29,Female,Black African,High School,Healthcare,30,19688,6123.94,2068.3,3001.48,9716.86,4445.83,3509.54,24420.11,49.35,Critical Risk
34,Male,Black African,Diploma,Construction,40,4906,1695.41,657.98,882.16,1976.64,384.4,739.63,5951.82,40.29,Critical Risk
26,Female,Black African,Diploma,Healthcare,50,31882,10727.13,4234.79,6066.52,8331.52,2653.03,5295.18,34655.15,26.13,Moderate Risk
28,Male,Black African,High School,Mining,45,10948,3369.78,1435.93,2041.75,3956.66,1063.07,1761.34,12565.47,36.14,High Risk
31,Female,Black African,Diploma,IT,40,16566,5023.77,1869.64,3288.79,3291.43,1834.97,3257.53,16731.16,19.87,Low Risk
24,Female,Black African,High School,Healthcare,40,25797,8432.63,3442.31,5040.25,1323.38,4954.69,3909.74,22148.3,5.13,Very Low Risk
28,Male,Black African,High School,Mining,50,19496,6550.12,2353.7,3060.24,10160.49,2991.87,3606.72,25731.26,52.12,Critical Risk
32,Female,White,High School,Finance,20,19766,7405.5,2506.5,3583.58,9168.78,3103.24,3115.95,25780.3,46.39,Critical Risk
32,Male,Black African,High School,Mining,40,24620,9169.18,3304.15,4277.05,1632.53,2652.79,3877.88,22260.79,6.63,Very Low Risk
29,Female,Coloured,High School,Construction,30,5515,1910.57,653.58,878.73,574.31,1093.54,852.39,4869.58,10.41,Very Low Risk
26,Female,Black African,High School,Healthcare,20,9228,2962.38,1381.78,1731.18,4516.58,1315.08,1793.67,12385.59,48.94,Critical Risk
25,Male,Coloured,Bachelor's,Construction,30,5635,2165.06,581.1,981.48,2534.73,810.41,1118.46,7380.83,44.98,Critical Risk
29,Male,Black African,High School,Mining,30,23483,8569.53,3205.46,4342.6,4768.94,2300.86,4246.59,25133.11,20.31,Moderate Risk
29,Male,Black African,Diploma,Construction,20,11524,3859.18,1290.89,1763.79,1457.21,1242.23,2292.08,10663.15,12.64,Very Low Risk
24,Male,Black African,High School,Construction,45,7535,2916.72,1123.41,1172.92,992.69,1179.71,1487.15,7692.88,13.17,Very Low Risk
27,Male,Black African,Bachelor's,Finance,45,34622,13219.0,4380.78,5959.97,17065.38,2156.81,6847.57,47472.7,49.29,Critical Risk
26,Male,Black African,High School,Healthcare,40,18327,5499.2,2551.96,2766.64,10299.62,4361.82,3191.64,24309.06,56.2,Critical Risk
23,Male,Black African,High School,Mining,45,22473,8694.62,2475.29,3583.93,8514.57,3568.5,3433.65,26702.06,37.89,High Risk
29,Female,Black African,High School,Healthcare,20,16084,5676.7,2316.39,3086.22,3426.92,2851.8,3034.07,17540.31,21.31,Moderate Risk
33,Male,Black African,PhD,Education,30,48586,19067.16,7201.56,8431.41,28573.56,2698.11,9259.85,72533.54,58.81,Critical Risk
35,Male,Indian/Asian,Diploma,Education,40,17903,6750.71,2272.74,3326.01,3990.62,1045.74,2867.25,19207.34,22.29,Moderate Risk
27,Female,Black African,High School,Mining,45,15566,4897.54,2218.97,2462.02,6736.11,3773.79,2918.75,19233.37,43.27,Critical Risk
23,Male,Black African,High School,Retail,45,5770,1927.85,770.21,975.89,3211.44,470.19,1071.03,7956.42,55.66,Critical Risk
33,Male,Black African,High School,Healthcare,20,15574,5157.64,1747.44,2973.72,7037.48,1281.42,3020.44,19936.71,45.19,Critical Risk
26,Male,Black African,High School,Healthcare,30,9558,3539.26,1394.68,1454.1,5296.68,2166.26,1810.08,13494.8,55.42,Critical Risk
22,Female,Black African,Bachelor's,Education,40,21544,7623.39,2993.82,3571.87,3997.18,4509.35,3410.16,21596.43,18.55,Low Risk
33,Female,Black African,Diploma,Education,40,11374,3719.86,1644.28,1996.7,2717.09,2058.26,1787.39,11865.32,23.89,Moderate Risk
31,Male,Black African,Diploma,Construction,40,9168,3448.61,1083.13,1660.34,3872.53,1742.42,1534.15,11598.76,42.24,Critical Risk
27,Female,Indian/Asian,High School,Healthcare,40,13518,4939.37,1658.41,2127.04,4312.41,735.42,2513.91,15551.13,31.9,High Risk
34,Female,Black African,Diploma,Healthcare,20,24047,9121.41,2751.45,4720.07,3626.02,4488.56,4386.63,24605.58,15.08,Low Risk
33,Female,Black African,High School,Education,45,6951,2604.56,811.81,1298.89,3224.65,664.96,1096.18,9036.09,46.39,Critical Risk
30,Female,Black African,High School,Mining,40,34201,12358.82,3866.37,5239.18,8152.72,3260.36,6057.11,35674.2,23.84,Moderate Risk
22,Female,Black African,Diploma,IT,30,28715,9091.27,3915.66,4946.95,15634.46,3932.13,4650.81,38239.14,54.45,Critical Risk
32,Male,Black African,High School,Construction,40,11065,3534.83,1316.13,2151.84,5023.83,1486.64,2195.73,14222.37,45.4,Critical Risk
32,Male,Black African,Diploma,Mining,30,15094,5716.59,2061.57,2943.49,3537.1,2354.63,2478.13,16736.88,23.43,Moderate Risk
31,Male,Black African,Bachelor's,Finance,40,16111,6212.6,2154.38,3125.15,5117.53,3152.88,3200.42,19810.08,31.76,Critical Risk
33,Female,Black African,High School,Retail,30,5762,2017.98,736.14,898.58,3265.8,1324.29,910.16,7828.66,56.68,Critical Risk
33,Female,Black African,Bachelor's,Mining,20,15701,6260.22,2097.46,2748.22,5838.62,2203.48,2454.07,19398.59,37.19,Critical Risk
35,Female,Indian/Asian,High School,Mining,40,9385,3092.56,1198.28,1620.97,4367.44,1586.38,1545.94,11825.18,46.54,Critical Risk
35,Female,Black African,High School,Healthcare,20,5402,2015.86,734.54,924.11,3114.93,804.21,949.05,7738.49,57.66,Critical Risk
35,Male,Black African,Diploma,Construction,20,3527,1294.31,410.28,596.02,1682.3,178.09,672.73,4655.63,47.7,Critical Risk
24,Female,Black African,Diploma,Finance,30,29040,10879.77,4038.47,5603.03,2114.79,6251.13,5807.74,28443.8,7.28,Very Low Risk
33,Female,Black African,High School,Construction,45,11287,3855.54,1297.18,2139.94,2155.85,2225.35,1954.12,11402.63,19.1,Low Risk
28,Female,Black African,Bachelor's,Healthcare,50,33495,10866.84,4989.18,5339.09,6815.85,8102.82,6550.82,34561.78,20.35,Moderate Risk
25,Female,Black African,Master's,Education,40,24971,8502.28,2979.33,4723.31,8497.23,3108.28,4882.53,29584.68,34.03,High Risk
30,Female,Black African,High School,Construction,40,4115,1312.56,414.17,756.96,1023.67,880.72,630.72,4138.08,24.88,Moderate Risk
24,Male,Black African,Bachelor's,Healthcare,20,11878,3696.21,1464.24,1809.55,4613.5,2322.53,2262.56,13846.06,38.84,High Risk
26,Female,Coloured,Diploma,IT,45,36439,13425.05,5385.29,5656.68,20287.77,2672.81,6249.23,51004.03,55.68,Critical Risk
24,Male,Black African,Master's,Retail,40,7897,3147.6,1039.91,1559.11,3606.34,1927.19,1341.28,10694.24,45.67,Critical Risk
28,Female,Black African,High School,IT,40,21917,8036.76,2303.71,3868.5,1157.25,1767.52,3714.18,19080.41,5.28,Very Low Risk
26,Female,Indian/Asian,Bachelor's,Healthcare,45,26890,8428.5,2834.21,5375.38,15356.91,5810.78,5197.26,37192.26,57.11,Critical Risk
30,Male,Coloured,High School,Retail,30,5887,2073.07,720.85,1167.28,891.11,852.07,1007.06,5859.36,15.14,Low Risk
28,Female,Black African,Bachelor's,Mining,40,51498,18560.54,5730.51,9703.68,12576.54,8761.43,9377.65,55948.92,24.42,Moderate Risk
23,Male,Black African,Diploma,Construction,40,15927,5949.77,2074.17,2645.7,1382.01,2439.49,2947.93,14999.58,8.68,Very Low Risk
25,Male,Black African,High School,Finance,40,30755,11611.27,4511.72,4911.24,4487.62,1950.28,5707.41,31229.27,14.59,Very Low Risk
30,Male,Black African,High School,IT,45,27872,8912.55,4133.4,4196.31,15844.78,6674.15,4757.14,37844.17,56.85,Critical Risk
33,Female,Black African,Bachelor's,Finance,40,31439,10460.83,4592.01,4960.77,11839.42,7062.9,5135.28,36988.31,37.66,High Risk
35,Female,Black African,Diploma,Healthcare,45,7194,2549.09,825.93,1395.26,1284.62,1203.65,1312.83,7367.74,17.86,Low Risk
